MatchId,market_normalised,Player,Option,legs,first_price,last_price,fixture,kickoff,turnover_within,currencies,currency,distinct_uids,turnover_is_mixed_currency,implied_prob_move,direction,is_sharp_move
33890306,Team Shots,Remates equipo,Germany 28 or more,5,3.27,2.52,Germany - Curaçao,2026-06-14 17:01:45,,2,,4,True,0.2976190476190476,steamer,True
36966609,Team corners,Corners equipo,Austria 4 or more,26,2.62,2.02,Argentina - Austria,2026-06-22 17:00:58,,2,,20,True,0.2970297029702971,steamer,True
36966593,Team corners,Corners equipo,Iran 3 or more,7,1.76,1.36,Belgium - Iran,2026-06-21 19:00:03,102.74,1,EUR,7,False,0.2941176470588233,steamer,True
33890312,Shots (Star Substitute),Remates Valverde (Suplente Estrella),3 or more,11,2.51,1.94,Saudi Arabia - Uruguay,2026-06-15 22:03:57,626.0,1,EUR,4,False,0.29381443298969073,steamer,True
36024491,Team corners,Corners equipo,Canada 8 or more,6,3.88,3.0,Canada - Bosnia And Herzegovina,2026-06-12 19:02:13,330.1,1,EUR,6,False,0.2933333333333331,steamer,True
36966469,Shots outside the box,Mbekezeli Mbokazi,1 or more,7,3.18,2.46,Czech Republic - South Africa,2026-06-18 16:00:09,136.25,1,EUR,5,False,0.29268292682926833,steamer,True
36966612,Team corners,Corners equipo,Iraq 2 or more,21,1.95,1.51,France - Iraq,2026-06-22 21:00:42,,2,,18,True,0.2913907284768211,steamer,True
33890313,Shots (Star Substitute),Remates Gavi (Suplente Estrella),3 or more,12,2.62,2.03,Spain - Cape Verde,2026-06-15 16:01:07,1275.0,1,EUR,6,False,0.2906403940886702,steamer,True
36966591,Team shots on target,Remates a puerta equipo,Saudi Arabia 4 or more,5,5.05,3.92,Spain - Saudi Arabia,2026-06-21 16:00:48,,2,,5,True,0.28826530612244894,steamer,True
36966609,Home-side combo (bet builder),Argentina,Argentina to win 1st half y Argentina to win 2nd half,14,4.61,3.58,Argentina - Austria,2026-06-22 17:00:58,38.76,1,EUR,9,False,0.28770949720670397,steamer,True
36966553,Team corners,Corners equipo,Ivory Coast 4 or more,26,2.33,1.81,Germany - Ivory Coast,2026-06-20 20:00:00,328.7,1,EUR,16,False,0.28729281767955805,steamer,True
33890313,Team goal kicks,Saques de puerta equipo,Cape Verde 11 or more,9,2.33,1.81,Spain - Cape Verde,2026-06-15 16:01:07,,2,,7,True,0.28729281767955805,steamer,True
36966469,Team completed passes,Pases completados equipo,Czech Republic 400 or more,11,3.23,2.51,Czech Republic - South Africa,2026-06-18 16:00:09,,2,,8,True,0.2868525896414343,steamer,True
33890416,Match corners,Corners durante el partido,12 or more,17,3.5,2.72,France - Senegal,2026-06-16 19:02:47,,2,,13,True,0.2867647058823529,steamer,True
36971426,Team corners,Corners equipo,Paraguay 6 or more,5,4.14,3.22,Turkey - Paraguay,2026-06-20 03:00:03,,2,,5,True,0.28571428571428553,steamer,True
36024520,Fouls Won (Star Substitute),Faltas recibidas Cristiano Ronaldo(Suplente Estrella),2 or more,5,2.75,2.14,Portugal - Democratic Republic of the Congo,2026-06-17 17:01:15,,2,,5,True,0.2850467289719626,steamer,True
